泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
อันนี้ใช่ไหม	an ni chai mai	an nī~ chaiˋ maiˊ	這個是嗎？	derived	
คนนี้ใช่ไหม	khon ni chai mai	kon nī~ chaiˋ maiˊ	這個人是嗎？	derived	
คนนั้นใช่ไหม	khon nan chai mai	kon nan~ chaiˋ maiˊ	那個人是嗎？	derived	
ชื่ออะไร	chue arai	chɯ̄ˋ aˇ rai	名字是什麼？	derived	
ซอยอะไร	soi arai	sɔ̄i aˇ rai	什麼巷？	derived	
เบอร์โทรศัพท์อะไร	ber thor-asap arai	bə̄ tō ra~ sapˇ aˇ rai	電話號碼？	derived	
มีเงินเท่าไหร่	mi ngoen thao rai	mī - ngə̄n tāuˋ raiˇ	有多少錢？	book-assisted	
มีเวลาเท่าไหร่	mi wela thao rai	mī - wē lā tāuˋ raiˇ	有多少時間？	book-assisted	
ใช้เงินเท่าไหร่	chai ngoen thao rai	chai~ ngə̄n tāuˋ raiˇ	花多少錢？	derived	
ใช้เวลาเท่าไหร่	chai wela thao rai	chai~ wē lā tāuˋ raiˇ	花多少時間？	derived	
เสียเวลาเท่าไหร่	sia wela thao rai	sīaˊ wē lā tāuˋ raiˇ	浪費多少時間？	derived	
เสียเงินเท่าไหร่	sia ngoen thao rai	sīaˊ ngə̄n tāuˋ raiˇ	浪費多少錢？	derived	
ใส่	sai	saiˇ	穿/戴/裝	derived	
กินที่นี่หรือใส่ถุง	kin thi ni rue sai thung	gin tīˋ nīˋ rɯ̄aˊ saiˇ tungˊ	在這吃或打包帶走？	derived	
กินที่นี่หรือกลับบ้าน	kin thi ni rue glap ban	gin tīˋ nīˋ rɯ̄aˊ glapˇ bānˋ	在這吃或外帶（帶回家）？	derived	
คนละเท่าไหร่	khon la thao rai	kon la~ tāuˋ raiˇ	每人多少？	derived	
กิโลละเท่าไหร่	kilo la thao rai	giˇ lō la~ tāuˋ raiˇ	每公斤多少？	derived	
ตั๋วใบละเท่าไหร่	tua bai la thao rai	dūaˊ bai la~ tāuˋ raiˇ	票每張多少？	derived	
น้ำส้มขวดละเท่าไหร่	nam som khuat la thao rai	nām~ somˋ kūatˇ la~ tāuˋ raiˇ	橙汁每瓶多少？	derived	
เอาอย่างละจาน	ao yang la jan	au yāngˋ la~ jān	每樣來一盤	derived	
เอาอย่างละแก้ว	ao yang la kaew	au yāngˋ la~ gɛ̄uˋ	每樣來一杯	derived	
อย่าง	yang	yāngˋ	樣子、情況、狀態	derived	
ทำไมเป็นอย่างนี้	thammai pen yang nii	tam mai ben yāngˋ nī~	為什麼會變成這樣？	derived	
วินาที	wi naa thee	wi~ nā tī	秒	derived	
นาที	naa thee	nā tī	分鐘	derived	
ชั่วโมง	chua mong	chūaˋ mōng	小時	derived	
สัปดาห์	sap daa	sapˇ dā	星期	derived	
อาทิตย์	a thit	ā tit~	星期	derived	
วัน	wan	wan -	日	book-exact	
เดือน	duean	dɯ̄an	月	derived	
ปี	pii	bī	年	derived	
